Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
Matt Albers\alberma01,32,37.1,30,0,6,1.45,4.31,-0.06,-0.32,97.9,3.97,10,1.1,1.04,-0.1,1.4,14,.537,.507,$1500000,Free Agency
Chris Beck\beckch02,24,6.0,1,1,5,7.50,4.48,-0.08,0.17,104.0,4.92,-2,-0.2,,0.0,-0.1,-1,.337,.499,,Amateur Draft
Scott Carroll\carrosc02,30,36.2,18,0,19,4.66,4.45,-0.07,-0.27,96.5,4.11,-3,-0.3,.39,0.0,0.1,1,.484,.498,,Free Agency
John Danks*\danksjo01,30,177.2,30,30,104,5.27,4.40,-0.07,0.17,98.0,4.54,-16,-1.7,,-0.1,0.0,2,.444,.490,$15750000,Traded
Kyle Drabek\drabeky01,27,5.1,3,0,3,5.06,4.29,-0.08,-0.32,101.5,4.11,-1,-0.1,.03,0.0,0.0,0,.478,.500,$518200,Waivers
Zach Duke*\dukeza01,32,60.2,71,0,26,3.86,4.40,-0.05,-0.33,97.9,4.04,1,0.1,1.48,-0.1,0.5,7,.501,.500,$4500000,Free Agency
Leury Garcia\garcile02,24,1.0,1,0,0,0.00,4.41,-0.06,-0.32,94.0,3.90,0,0.0,.00,0.0,0.0,1,.547,.500,,Traded
Javy Guerra\guerrja01,29,1.2,3,0,0,0.00,4.43,-0.08,-0.33,104.0,4.34,1,0.1,.91,0.0,0.1,1,.529,.501,$937500,Waivers
Junior Guerra\guerrju02,30,4.0,3,0,3,6.75,4.21,-0.07,-0.31,97.1,3.86,-1,-0.1,.24,0.0,-0.1,-1,.454,.499,,Free Agency
Dan Jennings*\jennida01,28,56.1,53,0,28,4.47,4.40,-0.06,-0.33,98.2,4.07,-3,-0.3,.86,-0.1,0.1,3,.494,.498,$523000,Traded
Erik Johnson\johnser04,25,35.0,6,6,14,3.60,4.37,-0.06,0.17,98.4,4.53,3,0.4,,0.0,0.7,7,.560,.502,,Amateur Draft
Nate Jones\jonesna01,29,19.0,19,0,7,3.32,4.32,-0.04,-0.32,95.9,3.88,1,0.1,1.38,0.0,0.3,3,.506,.501,$660000,Amateur Draft
Adam LaRoche*\larocad01,35,1.0,1,0,0,0.00,4.57,-0.05,-0.34,94.0,4.02,0,0.0,.00,0.0,0.0,1,.548,.500,$12000000,Free Agency
Frankie Montas\montafr02,22,15.0,7,2,8,4.80,4.25,-0.05,-0.09,96.3,4.06,-1,-0.1,.13,0.0,0.0,0,.479,.499,,Traded
Hector Noesi\noesihe01,28,32.2,10,5,26,7.16,4.49,-0.07,0.00,98.5,4.50,-10,-1.0,.06,0.1,-0.5,-7,.402,.494,$1950000,Waivers
Jake Petricka\petrija01,27,52.0,62,0,21,3.63,4.53,-0.07,-0.33,97.6,4.16,2,0.3,1.33,-0.1,0.7,8,.504,.502,$520000,Amateur Draft
Zach Putnam\putnaza01,27,48.2,49,0,24,4.44,4.36,-0.05,-0.32,97.5,3.99,-3,-0.3,1.03,-0.1,0.1,2,.494,.498,$525000,Free Agency
Jose Quintana*\quintjo01,26,206.1,32,32,81,3.53,4.34,-0.06,0.17,98.1,4.49,20,2.2,,-0.1,4.1,41,.569,.514,$3400000,Free Agency
Alexei Ramirez\ramiral03,33,1.0,1,0,0,0.00,4.41,-0.08,-0.32,94.0,3.92,0,0.0,.00,0.0,0.0,1,.547,.500,$10000000,Amateur Free Agent
David Robertson\roberda08,30,63.1,60,0,27,3.84,4.36,-0.05,-0.32,97.4,3.99,0,0.0,1.78,-0.1,0.6,7,.501,.500,$10000000,Free Agency
Carlos Rodon*\rodonca01,22,139.1,26,23,63,4.07,4.27,-0.06,0.14,97.3,4.35,3,0.3,1.50,-0.1,1.6,18,.512,.502,,Amateur Draft
Chris Sale*\salech01,26,208.2,31,31,88,3.80,4.33,-0.05,0.17,98.4,4.48,13,1.5,,-0.1,3.4,36,.548,.509,$6000000,Amateur Draft
Jeff Samardzija\samarje01,30,214.0,32,32,122,5.13,4.40,-0.07,0.17,98.2,4.55,-16,-1.7,,-0.1,0.3,6,.448,.490,$9800000,Traded
Daniel Webb\webbda01,25,30.0,27,0,26,7.80,4.33,-0.07,-0.32,97.8,3.99,-13,-1.3,.62,0.2,-0.9,-10,.450,.492,,Traded
Team Total,27.5,1452.2,576,162,701,4.34,4.37,-0.06,0.02,97.9,4.36,-14,-1.0,1.16,-0.9,12.5,139,.498,.500,$78583700,
