Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Dioner Navarro#\navardi01,32,85,298,271,25,57,13,2,6,32,1,2,20,63,.210,.267,.339,.606,66,92,5,2,2,3,0
2,1B,Jose Abreu\abreujo02,29,159,695,624,67,183,32,1,25,100,0,2,47,125,.293,.353,.468,.820,124,292,21,15,0,9,7
3,2B,Brett Lawrie\lawribr01,26,94,384,351,35,87,22,0,12,36,7,3,30,109,.248,.310,.413,.723,97,145,3,2,0,1,2
4,SS,Tim Anderson\anderti01,23,99,431,410,57,116,22,6,9,30,10,2,13,117,.283,.306,.432,.738,100,177,15,1,6,1,0
5,3B,Todd Frazier\frazito01,30,158,666,590,89,133,21,0,40,98,15,5,64,163,.225,.302,.464,.767,107,274,11,4,1,7,1
6,LF,Melky Cabrera#\cabreme01,31,151,646,591,70,175,42,5,14,86,2,0,47,69,.296,.345,.455,.800,118,269,17,0,3,5,2
7,CF,JB Shuck*\shuckja01,29,80,241,224,27,46,5,2,4,14,3,3,12,21,.205,.248,.299,.547,50,67,5,1,3,1,0
8,RF,Adam Eaton*\eatonad02,27,157,706,619,91,176,29,9,14,59,14,5,63,115,.284,.362,.428,.790,117,265,6,14,7,3,2
9,DH,Avisail Garcia\garciav01,25,120,453,413,59,101,18,2,12,51,4,4,34,115,.245,.307,.385,.692,89,159,9,4,0,2,0
10,MI,Tyler Saladino\saladty01,26,93,319,298,33,84,14,0,8,38,11,5,13,62,.282,.315,.409,.725,98,122,11,3,2,3,0
11,DH,Justin Morneau*\morneju01,35,58,218,203,16,53,14,1,6,25,0,0,12,52,.261,.303,.429,.731,99,87,5,1,0,2,1
12,C,Alex Avila*\avilaal01,29,57,209,169,19,36,6,0,7,11,0,0,38,78,.213,.359,.373,.732,103,63,3,1,0,1,0
13,CF,Austin Jackson\jacksau01,29,54,203,181,24,46,12,2,0,18,2,1,17,39,.254,.318,.343,.661,83,62,3,1,2,2,0
14,SS,Jimmy Rollins#\rolliji01,37,41,166,149,25,33,8,1,2,8,5,2,16,33,.221,.295,.329,.624,72,49,2,0,0,1,0
15,2B,Yolmer Sanchez#\sanchca01,24,53,163,154,15,32,9,1,4,21,0,1,5,42,.208,.236,.357,.593,60,55,1,1,2,1,0
16,C,Omar Narvaez*\narvaom01,24,34,117,101,13,27,4,0,1,10,0,0,14,14,.267,.350,.337,.687,92,34,0,0,0,2,1
17,UT,Jerry Sands\sandsje01,28,24,58,55,2,13,0,0,1,7,0,0,3,24,.236,.276,.291,.567,57,16,3,0,0,0,0
18,OF,Jason Coats\coatsja01,26,28,58,50,8,10,4,0,1,4,1,0,5,12,.200,.298,.340,.638,76,17,1,2,1,0,0
19,CF,Leury Garcia#\garcile02,25,18,50,48,6,11,1,1,1,5,2,1,1,13,.229,.260,.354,.614,67,17,0,1,0,0,0
20,C,Kevan Smith\smithke04,28,7,16,16,2,2,0,0,0,0,0,0,0,6,.125,.125,.125,.250,-31,2,1,0,0,0,0
21,C,Hector Sanchez#\sanchhe01,26,2,8,7,0,1,0,0,0,1,0,0,1,2,.143,.250,.143,.393,13,1,0,0,0,0,0
22,DH,Matt Davidson\davidma02,25,1,2,2,1,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,178,1,0,0,0,0,0
23,CF,Charlie Tilson*\tilsoch01,23,1,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,178,1,0,0,0,0,0
24,P,Chris Sale*\salech01,27,3,6,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-7,1,0,0,0,0,0
25,P,James Shields\shielja02,34,2,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,39,1,0,0,0,0,0
26,P,Carlos Rodon*\rodonca01,23,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
27,P,Anthony Ranaudo\ranauan01,26,2,3,3,1,1,0,0,1,1,0,0,0,1,.333,.333,1.333,1.667,326,4,0,0,0,0,0
28,P,Jose Quintana\quintjo01,27,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
29,P,Mat Latos\latosma01,28,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
30,P,Matt Albers*\alberma01,33,4,1,1,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,696,2,0,0,0,0,0
31,P,Miguel Gonzalez\gonzami03,32,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Michael Ynoa\ynoami01,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Erik Johnson\johnser04,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Matt Purke*\purkema01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Tommy Kahnle\kahnlto01,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Chris Beck\beckch02,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,John Danks*\danksjo01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Zach Putnam\putnaza01,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Jacob Turner\turneja01,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Blake Smith*\smithbl01,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Carson Fulmer\fulmeca01,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Scott Carroll\carrosc02,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Daniel Webb\webbda01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Zach Duke*\dukeza01,33,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Jake Petricka\petrija01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Dan Jennings*\jennida01,29,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Nate Jones\jonesna01,30,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Juan Minaya\minayju01,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,David Robertson\roberda08,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Tyler Danish\danisty01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,28.4,162,6131,5550,686,1428,277,33,168,656,77,36,455,1285,.257,.317,.410,.727,99,2275,122,53,29,44,16
,,Rank in 15 AL teams,,,,5,11,7,7,2,13,,7,12,11,8,8,9,11,11,,11,,5,,4,
,,Non-Pitcher Totals,28.4,162,6109,5528,684,1424,276,33,167,655,77,36,455,1275,.258,.318,.410,.728,99,2267,122,53,29,44,16
,,Pitcher Totals,25.2,162,22,22,2,4,1,0,1,1,0,0,0,10,.182,.182,.364,.545,45,8,0,0,0,0,0
