Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Jose Abreu\abreujo02,29,159,695,22,-3,-3,-5,-9,2,0.3,24,26,2.7,.501,.501,3.2,-1.4,31,$13334000,Amateur Free Agent,*3/D
Matt Albers*\alberma01,33,4,1,1,0,0,0,0,1,0.1,0,1,0.1,.529,.501,0.1,0.0,1,$2000000,Free Agency,1
Tim Anderson\anderti01,23,99,431,0,0,-1,6,5,11,1.2,15,26,2.7,.511,.507,2.0,1.2,20,,Amateur Draft,6
Alex Avila*\avilaal01,29,57,209,1,-2,0,-1,3,2,0.2,7,9,1.0,.503,.501,1.1,0.3,10,$2500000,Free Agency,2/D
Chris Beck\beckch02,25,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
Melky Cabrera#\cabreme01,31,151,646,14,-2,0,-5,-6,1,0.3,23,24,2.5,.501,.501,3.0,-1.1,29,$14000000,Free Agency,*7/D
Scott Carroll\carrosc02,31,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Free Agency,/1
Jason Coats\coatsja01,26,28,58,-1,1,0,1,-1,0,0.0,2,2,0.2,.500,.500,0.1,0.0,1,,Amateur Draft,9/7D
Tyler Danish\danisty01,21,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
John Danks*\danksjo01,31,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,/1
Matt Davidson\davidma02,25,1,2,0,0,0,0,0,0,0.0,0,0,0.0,.503,.500,0.0,0.0,0,,Traded,/D
Zach Duke*\dukeza01,33,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Adam Eaton*\eatonad02,27,157,706,15,1,3,20,-4,35,3.7,24,59,6.1,.523,.522,4.0,1.8,39,$2750000,Traded,*98/D7
Todd Frazier\frazito01,30,158,666,8,0,-1,-2,3,7,0.9,24,31,3.2,.505,.505,3.4,0.1,33,$8250000,Traded,*5/3D
Carson Fulmer\fulmeca01,22,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,/1
Avisail Garcia\garciav01,25,120,453,-1,-1,1,1,-8,-9,-0.9,16,7,0.7,.492,.494,0.6,-0.7,6,$2100000,Traded,D97
Leury Garcia#\garcile02,25,18,50,-3,0,0,-2,0,-3,-0.3,2,-2,-0.2,.481,.498,0.1,-0.2,0,,Traded,8
Miguel Gonzalez\gonzami03,32,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,,Free Agency,1
Austin Jackson\jacksau01,29,54,203,-5,0,0,-5,1,-8,-0.8,7,-1,-0.1,.484,.495,0.4,-0.4,4,$5000000,Free Agency,8
Dan Jennings*\jennida01,29,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$810000,Traded,1
Erik Johnson\johnser04,26,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
Nate Jones\jonesna01,30,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$900000,Amateur Draft,1
Tommy Kahnle\kahnlto01,26,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
Mat Latos\latosma01,28,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.474,.500,0.0,0.0,0,$3000000,Free Agency,1
Brett Lawrie\lawribr01,26,94,384,-2,0,2,-4,2,-2,-0.2,14,11,1.2,.497,.498,1.6,-0.1,15,$4125000,Traded,4/D
Juan Minaya\minayju01,25,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Waivers,1
Justin Morneau*\morneju01,35,58,218,-1,0,0,0,-5,-5,-0.5,8,2,0.2,.490,.496,0.2,-0.5,2,$1000000,Free Agency,D
Omar Narvaez*\narvaom01,24,34,117,-1,-1,0,-2,2,-1,-0.1,4,3,0.3,.496,.499,0.5,0.0,5,,Rule 5 Draft,2
Dioner Navarro#\navardi01,32,85,298,-14,-4,0,-4,5,-17,-1.7,11,-6,-0.7,.479,.489,-0.3,0.2,-2,,Free Agency,2/D
Jake Petricka\petrija01,28,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$535000,Amateur Draft,/1
Matt Purke*\purkema01,25,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Free Agency,1
Zach Putnam\putnaza01,28,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$975000,Free Agency,1
Jose Quintana\quintjo01,27,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.474,.500,0.0,0.0,0,$5400000,Free Agency,1
Anthony Ranaudo\ranauan01,26,2,3,1,0,0,0,0,1,0.1,0,1,0.1,.564,.501,0.1,0.0,1,,Traded,/1
David Robertson\roberda08,31,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$11000000,Free Agency,1
Carlos Rodon*\rodonca01,23,1,3,-1,0,0,0,0,0,0.0,0,0,0.0,.460,.500,0.0,0.0,0,$518000,Amateur Draft,1
Jimmy Rollins#\rolliji01,37,41,166,-6,-1,2,-3,2,-7,-0.7,6,-1,-0.1,.483,.496,0.2,-0.1,2,$2000000,Free Agency,6/D
Tyler Saladino\saladty01,26,93,319,-1,0,0,3,3,5,0.6,11,16,1.7,.506,.503,1.4,0.6,13,$513000,Amateur Draft,465/3D879
Chris Sale*\salech01,27,3,6,-1,0,0,0,1,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,$9150000,Amateur Draft,1
Hector Sanchez#\sanchhe01,26,2,8,-1,0,0,0,0,-1,-0.1,0,0,-0.1,.462,.500,-0.1,0.0,0,,Free Agency,/2
Yolmer Sanchez#\sanchca01,24,53,163,-8,-1,1,1,1,-6,-0.6,6,-1,-0.1,.488,.496,-0.2,0.2,-1,,Amateur Free Agent,4/56D
Jerry Sands\sandsje01,28,24,58,-3,0,0,0,-1,-5,-0.5,2,-3,-0.3,.479,.497,-0.3,-0.1,-3,$535000,Waivers,D/379
James Shields\shielja02,34,2,4,0,0,0,0,1,0,0.0,0,0,0.0,.509,.500,0.0,0.0,0,$21000000,Traded,1
JB Shuck*\shuckja01,29,80,241,-15,-1,2,-12,0,-27,-2.7,9,-18,-1.9,.465,.483,-0.7,-1.2,-6,$521000,Waivers,8D/791
Blake Smith*\smithbl01,28,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Rule 5 returned,/1
Kevan Smith\smithke04,28,7,16,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,.474,.499,-0.1,0.0,-1,,Amateur Draft,/2D
Charlie Tilson*\tilsoch01,23,1,2,0,0,0,0,0,0,0.0,0,0,0.0,.521,.500,0.0,0.0,0,,Traded,/8
Jacob Turner\turneja01,25,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1500000,Waivers,1
Daniel Webb\webbda01,26,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,/1
Michael Ynoa\ynoami01,24,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
Team Total,28.3,1619,6131,-5,-12,4,-13,-3,-30,-2.0,216,187,19.1,.498,.501,20.4,-1.2,200,$113416000,,
