Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Omar Narvaez*\narvaom01,25,90,295,253,23,70,10,0,2,14,0,0,38,45,.277,.373,.340,.713,97,86,8,1,3,0,1
2,1B,Jose Abreu\abreujo02,30,156,675,621,95,189,43,6,33,102,3,0,35,119,.304,.354,.552,.906,141,343,21,15,0,4,6
3,2B,Yolmer Sanchez#\sanchca01,25,141,534,484,63,129,19,8,12,59,8,9,35,111,.267,.319,.413,.732,97,200,10,4,7,4,2
4,SS,Tim Anderson\anderti01,24,146,606,587,72,151,26,4,17,56,15,1,13,162,.257,.276,.402,.679,81,236,13,3,2,1,0
5,3B,Todd Frazier\frazito01,31,81,335,280,41,58,15,0,16,44,4,3,48,71,.207,.328,.432,.761,104,121,4,4,0,3,1
6,LF,Melky Cabrera#\cabreme01,32,98,428,397,54,117,17,0,13,56,0,0,25,52,.295,.336,.436,.771,107,173,7,1,2,3,1
7,CF,Adam Engel\engelad01,25,97,336,301,34,50,11,3,6,21,8,1,19,117,.166,.235,.282,.517,40,85,1,8,8,0,0
8,RF,Avisail Garcia\garciav01,26,136,561,518,75,171,27,5,18,80,5,3,33,111,.330,.380,.506,.885,138,262,14,9,0,1,5
9,DH,Matt Davidson\davidma02,26,118,443,414,43,91,16,1,26,68,0,1,19,165,.220,.260,.452,.711,88,187,12,5,0,5,0
10,OF,Leury Garcia#\garcile02,26,87,326,300,41,81,15,2,9,33,8,5,13,69,.270,.316,.423,.739,98,127,4,8,3,2,0
11,C,Kevan Smith\smithke04,29,87,294,276,23,78,17,0,4,30,0,0,9,46,.283,.309,.388,.697,88,107,9,3,2,3,0
12,IF,Tyler Saladino\saladty01,27,79,281,253,23,45,9,2,0,10,5,4,23,67,.178,.254,.229,.484,33,58,5,3,2,0,0
13,2B,Yoan Moncada#\moncayo01,22,54,231,199,31,46,8,2,8,22,3,2,29,74,.231,.338,.412,.750,103,82,0,3,0,0,0
14,UT,Alen Hanson#\hansoal01,24,69,175,160,28,37,9,1,4,10,9,2,10,43,.231,.276,.375,.651,74,60,5,1,1,3,0
