Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Jose Abreu\abreujo02,30,156,675,35,1,-2,0,-9,25,2.5,24,48,4.8,.516,.515,4.8,-0.9,48,$10825000,Amateur Free Agent,*3D
Al Alburquerque\albural01,31,0,,0,0,0,0,,,,,,,,,,,,,Free Agency,1
Tim Anderson\anderti01,24,146,606,-13,2,0,-8,8,-11,-1.0,22,11,1.1,.493,.493,1.9,0.0,19,$850000,Amateur Draft,*6
Cody Asche*\ascheco01,27,19,62,-9,0,0,0,-1,-11,-1.1,2,-9,-0.9,.440,.493,-0.9,-0.1,-9,$535000,Free Agency,D/357
Chris Beck\beckch02,26,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
Rob Brantly*\brantro01,27,13,36,2,0,0,0,0,2,0.2,1,3,0.3,.515,.501,0.3,0.0,3,,Free Agency,/2D1
Aaron Bummer*\bummeaa01,23,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
Melky Cabrera#\cabreme01,32,98,428,5,0,1,-9,-4,-7,-0.7,15,8,0.8,.493,.496,1.7,-1.3,17,$15000000,Free Agency,7/D
Tyler Clippard\clippty01,32,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
Dylan Covey\coveydy01,25,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.488,.500,0.0,0.0,0,$535000,Rule 5 Draft,1
Tyler Danish\danisty01,22,0,,0,0,0,0,,,,,,,,,,,,,Amateur Draft,/1
Matt Davidson\davidma02,26,118,443,-10,-3,-2,-3,-6,-24,-2.4,16,-8,-0.9,.479,.485,-0.6,-0.9,-5,$536500,Traded,D53
Nicky Delmonico*\delmoni01,24,43,166,9,0,0,-1,-2,5,0.6,6,11,1.1,.513,.503,1.2,-0.3,12,,Free Agency,7D/3
Adam Engel\engelad01,25,97,336,-23,2,1,-1,2,-20,-2.0,12,-8,-0.8,.479,.488,-0.7,0.1,-7,,Amateur Draft,8/7
Danny Farquhar\farquda01,30,0,,0,0,0,0,,,,,,,,,,,,,Free Agency,1
Todd Frazier\frazito01,31,81,335,3,0,0,2,0,6,0.7,12,18,1.8,.508,.504,1.6,0.2,16,$12000000,Traded,5D/3
Jace Fry*\fryja01,23,0,,0,0,0,0,,,,,,,,,,,,,Amateur Draft,1
Carson Fulmer\fulmeca01,23,0,,0,0,0,0,,,,,,,,,,,,,Amateur Draft,/1
Avisail Garcia\garciav01,26,136,561,28,3,-1,1,-5,26,2.7,20,46,4.6,.519,.516,4.5,-0.4,45,$3000000,Traded,*9/D
Leury Garcia#\garcile02,26,87,326,-2,0,2,1,0,1,0.1,12,12,1.2,.501,.500,1.1,0.2,11,$546500,Traded,87/946
Willy Garcia\garciwi01,24,44,119,-2,0,0,-4,-1,-7,-0.7,4,-3,-0.3,.484,.496,0.1,-0.5,1,,Waivers,978/D
Lucas Giolito\giolilu01,22,0,,0,0,0,0,,,,,,,,,,,,,Traded,/1
Brad Goldberg\goldbbr01,27,0,,0,0,0,0,,,,,,,,,,,,,Amateur Draft,1
Miguel Gonzalez\gonzami03,33,3,7,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.478,.500,-0.1,0.0,-1,$5900000,Free Agency,1
Alen Hanson#\hansoal01,24,69,175,-6,1,0,-3,-1,-9,-0.9,6,-3,-0.3,.487,.494,0.0,-0.4,0,,Waivers,948/7D5
Derek Holland#\hollade01,30,1,1,0,0,0,0,0,1,0.1,0,1,0.1,.562,.500,0.1,0.0,1,$6000000,Free Agency,1
David Holmberg\holmbda01,25,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Gregory Infante\infangr01,29,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Dan Jennings*\jennida01,30,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1400000,Traded,1
Nate Jones\jonesna01,31,0,,0,0,0,0,,,,,,,,,,,,$1900000,Amateur Draft,1
Tommy Kahnle\kahnlto01,27,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$535000,Traded,1
Rymer Liriano\liriary01,26,21,46,-2,0,0,2,-1,0,0.0,2,1,0.1,.499,.500,-0.1,0.1,-1,,Waivers,7/9D
Reynaldo Lopez\lopezre01,23,0,,0,0,0,0,,,,,,,,,,,,,Traded,/1
Jacob May#\mayja02,25,15,42,-7,0,0,-1,0,-8,-0.8,2,-6,-0.6,.448,.495,-0.5,-0.1,-5,$535000,Amateur Draft,8/79
Juan Minaya\minayju01,26,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$535000,Waivers,1
Yoan Moncada#\moncayo01,22,54,231,0,0,1,6,1,9,0.9,8,17,1.7,.516,.505,1.1,0.8,11,,Traded,4
Omar Narvaez*\narvaom01,25,90,295,0,0,-1,-2,5,2,0.2,11,12,1.2,.502,.501,1.4,0.3,14,$540000,Rule 5 Draft,2/3D
Mike Pelfrey\pelfrmi01,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$8000000,Free Agency,1
Jake Petricka\petrija01,29,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$825000,Amateur Draft,1
Zach Putnam\putnaza01,29,0,,0,0,0,0,,,,,,,,,,,,$1175000,Free Agency,/1
Jose Quintana\quintjo01,28,2,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.475,.500,-0.1,0.0,-1,,Free Agency,1
David Robertson\roberda08,32,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Carlos Rodon*\rodonca01,24,3,7,0,0,0,0,1,2,0.1,0,2,0.1,.547,.501,0.1,0.0,2,$600000,Amateur Draft,1
Tyler Saladino\saladty01,27,79,281,-22,-1,0,4,0,-18,-1.9,10,-8,-0.9,.476,.488,-1.3,0.5,-12,$547000,Amateur Draft,45D6/3
Yolmer Sanchez#\sanchca01,25,141,534,1,-3,1,15,3,16,1.7,19,35,3.5,.512,.510,2.0,1.8,20,$546000,Amateur Free Agent,45/D69
James Shields\shielja02,35,0,,0,0,0,0,,,,,,,,,,,,$21000000,Traded,1
Kevan Smith\smithke04,29,87,294,-5,-2,-1,-7,5,-11,-1.0,11,0,0.0,.488,.494,0.7,-0.2,7,,Amateur Draft,2/D
Geovany Soto\sotoge01,34,13,48,-2,-1,0,0,1,-2,-0.2,2,0,0.0,.487,.499,0.0,0.1,0,$2000000,Free Agency,2
