Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Jose Abreu\abreujo02,32,159,693,16,-2,-2,-4,-10,-2,0.1,24,23,2.4,.499,.499,2.7,-1.2,27,$16000000,Free Agency,*3D
Yonder Alonso*\alonsyo01,32,67,251,-11,0,-1,-1,-5,-19,-1.8,9,-10,-0.9,.472,.489,-0.9,-0.5,-9,,Traded,D3
Tim Anderson\anderti01,26,123,518,20,2,2,-9,6,22,2.2,19,40,4.0,.517,.513,4.8,-0.1,49,$1400000,Amateur Draft,*6/D
Manny Banuelos\banuema01,28,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$559000,Traded,1
Aaron Bummer*\bummeaa01,25,7,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
Ryan Burr\burrry01,25,0,,0,0,0,0,,,,,,,,,,,,$556000,Traded,1
Welington Castillo\castiwe01,32,72,251,-7,-2,-1,-3,1,-12,-1.1,9,-3,-0.2,.484,.493,0.0,-0.1,0,$7250000,Free Agency,2D
Dylan Cease\ceasedy01,23,0,,0,0,0,0,,,,,,,,,,,,,Traded,1
Zack Collins*\colliza01,24,27,102,-4,0,0,-2,-1,-6,-0.6,4,-3,-0.2,.478,.496,-0.1,-0.2,-1,,Amateur Draft,D2/3
Alex Colome\colomal01,30,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$7325000,Traded,1
Ryan Cordell\cordery01,27,97,247,-10,-1,0,-2,-2,-15,-1.4,9,-6,-0.6,.485,.491,-0.4,-0.3,-4,$555000,Traded,98/7
Jimmy Cordero\cordeji01,27,3,1,0,0,0,0,0,0,0.0,0,0,0.0,.505,.500,0.0,0.0,0,,Waivers,1
Dylan Covey\coveydy01,27,2,2,-1,0,0,0,0,0,0.0,0,0,0.0,.488,.500,0.0,0.0,0,$571000,Rule 5 Draft,1
Nicky Delmonico*\delmoni01,26,21,68,-4,-1,0,-2,-1,-8,-0.7,2,-5,-0.5,.465,.495,-0.3,-0.2,-3,,Free Agency,7/3
Odrisamer Despaigne\despaod01,32,0,,0,0,0,0,,,,,,,,,,,,,Free Agency,/1
Ross Detwiler\detwiro01,33,2,2,-1,0,0,0,0,0,0.0,0,0,0.0,.488,.500,0.0,0.0,0,$100000,Free Agency,1
Adam Engel\engelad01,27,89,248,-6,0,0,2,2,-3,-0.2,9,6,0.7,.497,.499,0.4,0.5,4,$571000,Amateur Draft,8
Caleb Frare*\frareca01,25,0,,0,0,0,0,,,,,,,,,,,,$555000,Traded,/1
Jace Fry*\fryja01,25,7,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$569000,Amateur Draft,1
Carson Fulmer\fulmeca01,25,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.487,.500,0.0,0.0,0,,Amateur Draft,1
Leury Garcia#\garcile02,28,140,618,-8,4,1,-4,0,-6,-0.4,21,15,1.6,.496,.496,1.9,-0.2,19,$1550000,Traded,*8976/45D
Lucas Giolito\giolilu01,24,2,4,0,0,0,0,1,0,0.0,0,0,0.0,.513,.500,0.0,0.0,0,$573000,Traded,1
Ryan Goins*\goinsry01,31,52,163,-4,0,-1,1,1,-4,-0.3,6,2,0.2,.493,.498,0.1,0.2,1,,Free Agency,56/93D7
Kelvin Herrera\herreke01,29,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$8500000,Free Agency,1
Jon Jay*\jayjo02,34,47,182,-5,-1,1,-8,-2,-15,-1.4,7,-9,-0.8,.469,.491,-0.1,-0.9,-1,$4000000,Free Agency,97/D
Eloy Jimenez\jimenel02,22,122,504,11,2,-1,-11,-5,-5,-0.3,18,14,1.4,.496,.497,2.4,-1.4,24,$1833333,Traded,*7/D
Nate Jones\jonesna01,33,0,,0,0,0,0,,,,,,,,,,,,$4650000,Amateur Draft,1
Reynaldo Lopez\lopezre01,25,3,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.484,.500,-0.1,0.0,-1,$580000,Traded,1
