Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Jose Abreu\abreujo02,32,cu CU,R,R,6' 3",255,Jan 29 1987,6,159,159,159,125,0,0,125,0,0,0,0,0,0,0,34,0,0,2.4,$16000000,All-Star
Yonder Alonso\alonsyo01,32,cu CU,L,R,6' 1",230,Apr 8 1987,10,67,61,67,21,0,0,21,0,0,0,0,0,0,0,42,6,0,-0.9,,
Tim Anderson\anderti01,26,us US,R,R,6' 1",185,Jun 23 1993,4,123,122,123,122,0,0,0,0,0,122,0,0,0,0,1,0,1,4.0,$1400000,
Manny Banuelos\banuema01,28,mx MX,R,L,5' 10",215,Mar 13 1991,2,16,8,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$559000,
Aaron Bummer\bummeaa01,25,us US,L,L,6' 3",200,Sep 21 1993,3,58,0,7,58,58,0,0,0,0,0,0,0,0,0,0,0,0,2.8,,
Ryan Burr\burrry01,25,us US,R,R,6' 4",225,May 28 1994,2,16,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$556000,
Welington Castillo\castiwe01,32,do DO,R,R,5' 10",220,Apr 24 1987,10,72,61,72,48,0,48,0,0,0,0,0,0,0,0,21,9,0,-0.2,$7250000,
Dylan Cease\ceasedy01,23,us US,R,R,6' 2",190,Dec 28 1995,1st,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Zack Collins\colliza01,24,us US,L,R,6' 3",220,Feb 6 1995,1st,27,25,27,11,0,10,1,0,0,0,0,0,0,0,14,2,0,-0.2,,
Alex Colome\colomal01,30,do DO,R,R,6' 1",220,Dec 31 1988,7,62,0,5,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.0,$7325000,
Ryan Cordell\cordery01,27,us US,R,R,6' 4",195,Mar 31 1992,2,97,63,97,91,0,0,0,0,0,0,2,19,72,91,0,8,6,-0.6,$555000,
Jimmy Cordero\cordeji01,27,do DO,R,R,6' 4",222,Oct 19 1991,2,30,0,3,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1.1,,
Dylan Covey\coveydy01,27,us US,R,R,6' 1",220,Aug 14 1991,3,18,12,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,$571000,
Nicky Delmonico\delmoni01,26,us US,L,R,6' 3",230,Jul 12 1992,3,21,17,21,21,0,0,1,0,0,0,21,0,0,21,0,4,0,-0.5,,
Odrisamer Despaigne\despaod01,32,cu CU,R,R,6' 0",200,Apr 4 1987,6,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Ross Detwiler\detwiro01,33,us US,R,L,6' 5",210,Mar 6 1986,11,18,12,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,$100000,
Adam Engel\engelad01,27,us US,R,R,6' 2",210,Dec 9 1991,3,89,65,89,86,0,0,0,0,0,0,0,86,0,86,0,3,5,0.7,$571000,
Caleb Frare\frareca01,25,us US,L,L,6' 1",210,Jul 8 1993,2,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$555000,
Jace Fry\fryja01,25,us US,L,L,6' 1",190,Jul 9 1993,3,68,0,7,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$569000,
Carson Fulmer\fulmeca01,25,us US,R,R,6' 0",195,Dec 13 1993,4,20,2,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Leury Garcia\garcile02,28,do DO,B,R,5' 8",180,Mar 18 1991,7,140,135,140,138,0,0,0,2,1,19,24,80,45,120,1,2,2,1.6,$1550000,
Lucas Giolito\giolilu01,24,us US,R,R,6' 6",245,Jul 14 1994,4,29,29,2,29,29,0,0,0,0,0,0,0,0,0,0,0,0,5.6,$573000,All-Star
Ryan Goins\goinsry01,31,us US,L,R,5' 10",180,Feb 13 1988,7,52,35,52,46,0,0,2,0,23,14,1,0,7,8,1,11,2,0.2,,
Kelvin Herrera\herreke01,29,do DO,R,R,5' 10",200,Dec 31 1989,9,57,0,3,57,57,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$8500000,
Jon Jay\jayjo02,34,us US,L,L,5' 11",195,Mar 15 1985,10,47,44,47,45,0,0,0,0,0,0,13,0,33,45,2,2,0,-0.8,$4000000,
Eloy Jimenez\jimenel02,22,do DO,R,R,6' 4",205,Nov 27 1996,1st,122,122,122,114,0,0,0,0,0,0,114,0,0,114,8,0,0,1.4,$1833333,
Nate Jones\jonesna01,33,us US,R,R,6' 5",220,Jan 28 1986,8,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$4650000,
Reynaldo Lopez\lopezre01,25,do DO,R,R,6' 1",200,Jan 4 1994,4,33,33,3,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$580000,
