Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
Al Alburquerque\albural01,31,8.0,10,0,1,1.13,4.66,-0.07,-0.33,98.6,4.34,3,0.3,.87,0.0,0.3,4,.529,.502,,Free Agency
Chris Beck\beckch02,26,64.2,57,0,48,6.68,4.87,-0.08,-0.34,100.7,4.65,-15,-1.5,.62,0.1,-0.7,-8,.474,.491,,Amateur Draft
Rob Brantly\brantro01,27,1.0,1,0,1,9.00,5.04,-0.10,-0.35,96.0,4.60,0,0.0,.00,0.0,0.0,0,.452,.500,,Free Agency
Aaron Bummer*\bummeaa01,23,22.0,30,0,11,4.50,4.96,-0.07,-0.35,99.2,4.64,0,0.0,1.52,-0.1,0.2,3,.501,.500,,Amateur Draft
Tyler Clippard\clippty01,32,10.0,11,0,2,1.80,5.13,-0.07,-0.36,100.3,4.86,3,0.3,1.48,0.1,0.5,4,.531,.502,,Traded
Dylan Covey\coveydy01,25,70.0,18,12,60,7.71,4.65,-0.08,0.15,100.6,4.92,-22,-2.0,.44,0.0,-1.4,-15,.387,.487,$535000,Rule 5 Draft
Tyler Danish\danisty01,22,5.0,1,1,0,0.00,4.64,-0.06,0.20,96.0,4.69,3,0.3,,0.0,0.3,3,.797,.502,,Amateur Draft
Danny Farquhar\farquda01,30,14.1,15,0,7,4.40,4.93,-0.08,-0.34,99.1,4.62,0,0.0,1.48,0.0,0.1,2,.502,.500,,Free Agency
Jace Fry*\fryja01,23,6.2,11,0,8,10.80,5.40,-0.11,-0.38,98.9,5.07,-4,-0.4,.47,0.1,-0.3,-4,.462,.497,,Amateur Draft
Carson Fulmer\fulmeca01,23,23.1,7,5,10,3.86,4.70,-0.07,0.06,99.9,4.82,2,0.2,1.62,0.0,0.5,5,.534,.501,,Amateur Draft
Lucas Giolito\giolilu01,22,45.1,7,7,14,2.78,4.72,-0.07,0.20,95.8,4.78,10,1.1,,0.0,1.5,15,.653,.507,,Traded
Brad Goldberg\goldbbr01,27,12.0,11,0,11,8.25,4.69,-0.09,-0.33,102.6,4.56,-5,-0.5,.38,0.1,-0.3,-4,.456,.497,,Amateur Draft
Miguel Gonzalez\gonzami03,33,133.2,22,22,72,4.85,4.89,-0.08,0.21,100.7,5.22,4,0.5,,-0.1,1.7,19,.521,.503,$5900000,Free Agency
Derek Holland*\hollade01,30,135.0,29,26,106,7.07,4.83,-0.08,0.20,99.8,5.10,-31,-2.8,.27,-0.1,-1.6,-16,.402,.483,$6000000,Free Agency
David Holmberg*\holmbda01,25,57.2,37,7,37,5.77,4.90,-0.09,-0.07,100.1,4.92,-6,-0.6,.47,0.0,0.0,0,.484,.496,,Free Agency
Gregory Infante\infangr01,29,54.2,52,0,20,3.29,4.76,-0.07,-0.33,100.4,4.52,7,0.7,.85,-0.2,1.1,13,.514,.504,,Free Agency
Dan Jennings*\jennida01,30,44.1,48,0,20,4.06,4.89,-0.07,-0.34,99.9,4.62,2,0.2,1.04,-0.1,0.6,7,.505,.501,$1400000,Traded
Nate Jones\jonesna01,31,11.2,11,0,3,2.31,4.92,-0.06,-0.34,99.8,4.63,3,0.3,1.31,0.0,0.4,4,.527,.502,$1900000,Amateur Draft
Tommy Kahnle\kahnlto01,27,36.0,37,0,12,3.00,4.76,-0.05,-0.33,100.4,4.49,6,0.6,1.31,0.0,0.9,10,.516,.504,$535000,Traded
Reynaldo Lopez\lopezre01,23,47.2,8,8,29,5.48,4.52,-0.09,0.19,100.6,4.83,-4,-0.4,,0.0,0.1,1,.453,.498,,Traded
Juan Minaya\minayju01,26,43.2,40,0,22,4.53,4.83,-0.06,-0.34,98.3,4.48,-1,-0.1,1.20,-0.1,0.3,4,.498,.500,$535000,Waivers
Mike Pelfrey\pelfrmi01,33,120.0,34,21,87,6.53,4.71,-0.08,0.11,98.5,4.83,-24,-2.3,.52,0.0,-1.1,-10,.434,.486,$8000000,Free Agency
Jake Petricka\petrija01,29,25.2,27,0,21,7.36,4.90,-0.09,-0.34,98.5,4.57,-8,-0.8,1.07,-0.1,-0.7,-5,.470,.495,$825000,Amateur Draft
Zach Putnam\putnaza01,29,8.2,7,0,1,1.04,5.04,-0.05,-0.35,99.6,4.72,3,0.4,1.15,0.0,0.5,4,.552,.502,$1175000,Free Agency
Jose Quintana*\quintjo01,28,104.1,18,18,55,4.74,4.72,-0.07,0.20,100.6,5.03,2,0.2,,-0.1,1.2,14,.514,.502,,Free Agency
David Robertson\roberda08,32,33.1,31,0,10,2.70,4.80,-0.05,-0.34,100.6,4.54,7,0.7,1.62,0.1,1.1,10,.522,.504,,Free Agency
Carlos Rodon*\rodonca01,24,69.1,12,12,35,4.54,5.01,-0.07,0.21,99.3,5.26,5,0.5,,0.0,1.1,13,.543,.503,$600000,Amateur Draft
James Shields\shielja02,35,117.0,21,21,72,5.54,4.78,-0.08,0.20,99.2,5.01,-8,-0.8,,-0.1,0.3,5,.464,.495,$21000000,Traded
Anthony Swarzak\swarzan01,31,48.1,41,0,12,2.23,4.78,-0.06,-0.33,101.2,4.56,12,1.2,1.50,0.2,1.9,17,.530,.508,$900000,Free Agency
Chris Volstad\volstch01,30,19.1,6,2,11,5.12,5.01,-0.08,0.10,99.5,5.16,0,0.0,.55,0.0,0.2,2,.499,.500,,Free Agency
Michael Ynoa\ynoami01,25,29.0,22,0,22,6.83,4.88,-0.08,-0.34,98.5,4.55,-8,-0.7,.31,0.2,-0.3,-4,.466,.495,$540000,Traded
Team Total,28.8,1421.2,682,162,820,5.19,4.81,-0.08,0.00,99.7,4.87,-63,-5.3,1.01,-0.4,8.4,96,.492,.498,$49845000,
