Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
Luis Avilan*\avilalu01,28,39.2,58,0,20,4.54,4.55,-0.32,-0.31,98.2,4.48,-1,-0.1,1.18,-0.1,0.3,4,.499,.500,$2450000,Traded
Chris Beck\beckch02,27,23.2,14,0,11,4.18,4.50,-0.36,-0.31,98.5,4.48,1,0.1,.19,-0.1,0.2,3,.504,.500,,Amateur Draft
Aaron Bummer*\bummeaa01,24,31.2,37,0,19,5.40,4.53,-0.35,-0.31,97.9,4.48,-3,-0.4,.95,-0.1,-0.1,0,.490,.498,$549000,Amateur Draft
Ryan Burr\burrry01,24,9.2,8,0,8,7.45,4.38,-0.36,-0.30,97.0,4.31,-3,-0.3,.59,0.0,-0.2,-2,.457,.498,,Traded
Xavier Cedeno*\cedenxa01,31,25.1,33,0,9,3.20,4.61,-0.29,-0.31,99.4,4.56,4,0.4,1.20,0.0,0.6,6,.511,.502,,Free Agency
Dylan Covey\coveydy01,26,121.2,27,21,81,5.99,4.59,-0.37,0.15,99.3,5.08,-13,-1.3,.92,-0.1,-0.2,0,.451,.492,,Rule 5 Draft
Tyler Danish\danisty01,23,6.1,7,0,5,7.11,4.62,-0.38,-0.31,95.7,4.48,-2,-0.2,1.74,-0.1,-0.2,-1,.473,.499,,Amateur Draft
Matt Davidson\davidma02,27,3.0,3,0,0,0.00,4.47,-0.30,-0.30,104.2,4.65,2,0.2,.00,-0.1,0.1,2,.554,.501,$570000,Traded
Danny Farquhar\farquda01,31,8.0,8,0,5,5.63,4.64,-0.28,-0.32,96.1,4.43,-1,-0.1,1.24,0.0,-0.1,0,.486,.499,$1050000,Free Agency
Caleb Frare*\frareca01,24,7.0,11,0,4,5.14,4.95,-0.28,-0.34,98.0,4.79,0,0.0,1.80,0.0,0.0,0,.497,.500,,Traded
Jace Fry*\fryja01,24,51.1,59,1,28,4.91,4.59,-0.27,-0.30,99.6,4.54,-3,-0.3,1.46,-0.2,0.1,3,.496,.498,,Amateur Draft
Carson Fulmer\fulmeca01,24,32.1,9,8,32,8.91,4.52,-0.37,0.15,97.8,4.93,-15,-1.3,.00,0.0,-0.9,-11,.355,.492,$552000,Amateur Draft
Lucas Giolito\giolilu01,23,173.1,32,32,123,6.39,4.43,-0.36,0.19,98.5,4.91,-30,-2.8,,-0.1,-1.3,-11,.411,.482,$555000,Traded
Jeanmar Gomez\gomezje01,30,25.0,26,0,15,5.40,4.41,-0.35,-0.30,98.1,4.37,-3,-0.3,1.39,-0.1,-0.2,0,.488,.498,,Free Agency
Miguel Gonzalez\gonzami03,34,12.1,3,3,18,13.14,4.85,-0.51,0.22,95.5,5.33,-11,-0.8,,0.0,-0.7,-9,.232,.495,$4750000,Free Agency
Ian Hamilton\hamilia01,23,8.0,10,0,5,5.63,4.64,-0.36,-0.32,96.5,4.52,-1,-0.1,1.69,-0.1,-0.1,0,.489,.499,,Amateur Draft
Gregory Infante\infangr01,30,9.0,10,0,8,8.00,4.72,-0.36,-0.32,96.7,4.60,-3,-0.3,.80,0.0,-0.2,-2,.465,.498,$558000,Free Agency
Nate Jones\jonesna01,32,30.0,33,0,14,4.20,4.50,-0.33,-0.31,98.2,4.45,1,0.1,1.16,-0.1,0.3,4,.502,.500,$3950000,Amateur Draft
Michael Kopech\kopecmi01,22,14.1,4,4,8,5.02,4.18,-0.37,0.19,99.1,4.69,-1,-0.1,,0.0,0.1,1,.484,.500,,Traded
Reynaldo Lopez\lopezre01,24,188.2,32,32,88,4.20,4.41,-0.34,0.19,98.8,4.88,13,1.3,,-0.1,3.1,33,.542,.508,$555000,Traded
Juan Minaya\minayju01,27,46.2,52,0,19,3.66,4.70,-0.29,-0.32,99.0,4.63,5,0.5,1.27,0.0,0.9,10,.509,.503,$558000,Waivers
Carlos Rodon*\rodonca01,25,120.2,20,20,61,4.55,4.72,-0.33,0.21,99.3,5.23,8,0.9,,-0.1,2.0,21,.543,.505,$2300000,Amateur Draft
Bruce Rondon\rondobr01,27,29.2,35,0,30,9.10,4.62,-0.33,-0.31,100.2,4.64,-15,-1.5,1.03,-0.1,-1.3,-12,.458,.491,,Free Agency
Jose Ruiz\ruizjo01,23,4.1,6,0,2,4.15,4.59,-0.32,-0.31,95.8,4.40,0,0.0,.66,0.0,0.0,1,.501,.500,,Waivers
Hector Santiago*\santihe01,30,106.2,49,7,54,4.56,4.30,-0.31,-0.11,98.1,4.42,-2,-0.3,.60,-0.1,0.7,9,.495,.498,$2000000,Free Agency
Rob Scahill\scahiro01,31,5.0,6,0,4,7.20,4.62,-0.39,-0.31,99.5,4.67,-1,-0.1,.64,0.0,-0.1,-1,.476,.499,,Free Agency
James Shields\shielja02,36,204.2,34,33,115,5.06,4.49,-0.35,0.20,97.5,4.91,-5,-0.5,2.26,-0.1,1.4,17,.485,.497,$21000000,Traded
Joakim Soria\soriajo01,34,38.2,40,0,13,3.03,4.57,-0.31,-0.31,98.2,4.49,6,0.6,1.35,0.0,1.0,10,.515,.504,,Traded
Thyago Vieira\vieirth01,24,17.2,16,0,14,7.13,4.43,-0.38,-0.30,97.5,4.39,-6,-0.6,.62,0.1,-0.3,-4,.466,.497,,Traded
Chris Volstad\volstch01,31,47.1,33,1,35,6.65,4.59,-0.41,-0.22,99.9,4.78,-10,-1.0,.92,-0.1,-0.6,-5,.469,.494,,Free Agency
Team Total,27.6,1441.2,715,162,848,5.29,4.51,-0.34,0.01,98.5,4.79,-92,-8.5,1.11,-1.5,4.3,65,.488,.498,$41397000,
